Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,About us,Methods,Partners & media
Jacqueline Scheiflinger-Mannhart,Die Mitte,Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),6 (data-value=83),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),2 (data-value=17),4 (data-value=50),3 (data-value=33),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Dominik Kern,Die Mitte,Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),6 (data-value=83),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),4 (data-value=50),2 (data-value=17),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Markus Schmid,Die Mitte,Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),7 (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),4 (data-value=50),5 (data-value=67),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Cyrill Kammerlander,Die Mitte,No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),6 (data-value=83),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),2 (data-value=17),3 (data-value=33),3 (data-value=33),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Noel Birchler,Die Mitte,Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),5 (data-value=67),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),2 (data-value=17),2 (data-value=17),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Monika Vogel,Die Mitte,Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),6 (data-value=83),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),4 (data-value=50),2 (data-value=17),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Andy Mätzler,Die Mitte,Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),6 (data-value=83),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),2 (data-value=17),4 (data-value=50),3 (data-value=33),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Lucia Fritsche,Die Mitte,Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),6 (data-value=83),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),2 (data-value=17),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Andreas Stopp,Die Mitte,Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),5 (data-value=67),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),5 (data-value=67),4 (data-value=50),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Gabriela Geering,Die Mitte,No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),3 (data-value=33),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),1 (data-value=0),5 (data-value=67),1 (data-value=0),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Christopher Bauer,Die Mitte,Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),6 (data-value=83),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),2 (data-value=17),5 (data-value=67),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Patrick Gindrat,Die Mitte,Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),6 (data-value=83),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),5 (data-value=67),5 (data-value=67),3 (data-value=33),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Marius Obertüfer,Die Mitte,Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),6 (data-value=83),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),1 (data-value=0),2 (data-value=17),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Paul Widmer,Die Mitte,Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),7 (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),3 (data-value=33),3 (data-value=33),3 (data-value=33),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Adem Öztürk,Die Mitte,Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),4 (data-value=50),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),4 (data-value=50),7 (data-value=100),2 (data-value=17),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Tonja Maria Kammerlander,Die Mitte,No (data-value=0),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),6 (data-value=83),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),2 (data-value=17),4 (data-value=50),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Yvonne Soltermann,Die Mitte,Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),5 (data-value=67),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),3 (data-value=33),5 (data-value=67),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Michal Roost,Die Mitte,Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),3 (data-value=33),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),5 (data-value=67),4 (data-value=50),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Jean-Pierre Wollenschläger,Die Mitte,Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),5 (data-value=67),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),6 (data-value=83),5 (data-value=67),4 (data-value=50),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Jonathan Landolt,Die Mitte,Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),5 (data-value=67),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),6 (data-value=83),2 (data-value=17),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Priska Vogel,Die Mitte,Rather yes (data-value=75),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),3 (data-value=33),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),5 (data-value=67),1 (data-value=0),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
